Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	PDB	Taxonomic lineage	Taxonomic lineage (Ids)	Organism (ID)
A0A6B9T8Q4	unreviewed	A0A6B9T8Q4_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk JS82_04630	Methanomassiliicoccaceae archaeon DOK	692	A0A6B9T8Q4;		unclassified Methanomassiliicoccaceae (no rank), Methanomassiliicoccaceae (family), Methanomassiliicoccales (order), Thermoplasmata (class), Candidatus Thermoplasmatota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1712382 (no rank), 1577788 (family), 1235850 (order), 183967 (class), 2283796 (phylum), 2157 (superkingdom), 131567 (no rank)	1535962
A0A6C0UGR4	unreviewed	A0A6C0UGR4_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk G3I44_10170	Halogeometricum borinquense	857	A0A6C0UGR4;		Halogeometricum (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	60846 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	60847
A0A6C0UT80	unreviewed	A0A6C0UT80_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk G3A49_11355	Haloferax alexandrinus	832	A0A6C0UT80;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	114529
A0A6C0UWW1	unreviewed	A0A6C0UWW1_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk G3A49_16690	Haloferax alexandrinus	745	A0A6C0UWW1;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	114529
A0A6G0EHB0	unreviewed	A0A6G0EHB0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk Hfx1148_09810	Haloferax sp. CBA1148	759	A0A6G0EHB0;		unclassified Haloferax (no rank), Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2625095 (no rank), 2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2650752
A0A6G0EJ41	unreviewed	A0A6G0EJ41_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk Hfx1148_12080	Haloferax sp. CBA1148	836	A0A6G0EJ41;		unclassified Haloferax (no rank), Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2625095 (no rank), 2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2650752
A0A6G1Z256	unreviewed	A0A6G1Z256_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GJR98_07805	Haloferax marinisediminis	756	A0A6G1Z256;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2666142
A0A6G8TAG2	unreviewed	A0A6G8TAG2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk G9465_15315	Haloarcula sp. JP-L23	818	A0A6G8TAG2;		unclassified Haloarcula (no rank), Haloarcula (genus), Haloarculaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2624677 (no rank), 2237 (genus), 1963268 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2716717
A0A7C1DVE4	unreviewed	A0A7C1DVE4_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk ENN85_05270	Methanoculleus sp	712	A0A7C1DVE4;		unclassified Methanoculleus (no rank), Methanoculleus (genus), Methanomicrobiaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2619537 (no rank), 45989 (genus), 2194 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	90427
A0A7D5DYX4	unreviewed	A0A7D5DYX4_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk EFA46_001900	Halarchaeum sp. CBA1220	749	A0A7D5DYX4;		unclassified Halarchaeum (no rank), Halarchaeum (genus), Halobacteriaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2639520 (no rank), 744724 (genus), 2236 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1853682
A0A7D5E7J0	unreviewed	A0A7D5E7J0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HWN40_03955	Methanolobus zinderi	689	A0A7D5E7J0;		Methanolobus (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2220 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	536044
A0A7D5P472	unreviewed	A0A7D5P472_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HZS54_02060	Halosimplex pelagicum	873	A0A7D5P472;		Halosimplex (genus), Haloarculaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	171163 (genus), 1963268 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	869886
A0A7D5T2K5	unreviewed	A0A7D5T2K5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HZS55_01565	Halosimplex rubrum	870	A0A7D5T2K5;		Halosimplex (genus), Haloarculaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	171163 (genus), 1963268 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	869889
A0A7D5T3Q9	unreviewed	A0A7D5T3Q9_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HPY73_04040	Methanomassiliicoccales archaeon	698	A0A7D5T3Q9;		unclassified Methanomassiliicoccales (no rank), Methanomassiliicoccales (order), Thermoplasmata (class), Candidatus Thermoplasmatota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1577790 (no rank), 1235850 (order), 183967 (class), 2283796 (phylum), 2157 (superkingdom), 131567 (no rank)	1906667
A0A7D6CSI5	unreviewed	A0A7D6CSI5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HYG81_04470	Natrinema sp. YPL30	830	A0A7D6CSI5;		unclassified Natrinema (no rank), Natrinema (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2622230 (no rank), 88723 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1710539
A0A7G9ZC64	unreviewed	A0A7G9ZC64_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DCLBPEOH_00009	Methanosarcinales archaeon ANME-1 ERB7	715	A0A7G9ZC64;		unclassified Methanosarcinales (no rank), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	588815 (no rank), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2759913
A0A7J2YUF9	unreviewed	A0A7J2YUF9_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk ENY08_05320	Candidatus Bathyarchaeota archaeon	717	A0A7J2YUF9;		unclassified Candidatus Bathyarchaeota (no rank), Candidatus Bathyarchaeota (phylum), TACK group (no rank), Archaea (superkingdom), cellular organisms (no rank)	1700837 (no rank), 928852 (phylum), 1783275 (no rank), 2157 (superkingdom), 131567 (no rank)	2026714
A0A7J3JC66	unreviewed	A0A7J3JC66_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk ENT06_03895	Candidatus Bathyarchaeota archaeon	703	A0A7J3JC66;		unclassified Candidatus Bathyarchaeota (no rank), Candidatus Bathyarchaeota (phylum), TACK group (no rank), Archaea (superkingdom), cellular organisms (no rank)	1700837 (no rank), 928852 (phylum), 1783275 (no rank), 2157 (superkingdom), 131567 (no rank)	2026714
A0A7J4IGB7	unreviewed	A0A7J4IGB7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HA263_01105	Methanoregulaceae archaeon	724	A0A7J4IGB7;		unclassified Methanoregulaceae (no rank), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1811719 (no rank), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2485498
A0A7J4KEU6	unreviewed	A0A7J4KEU6_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HA256_06200	Methanoregulaceae archaeon	711	A0A7J4KEU6;		unclassified Methanoregulaceae (no rank), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1811719 (no rank), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2485498
A0A7J4N7K7	unreviewed	A0A7J4N7K7_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HA343_03420	Methanomassiliicoccales archaeon	708	A0A7J4N7K7;		unclassified Methanomassiliicoccales (no rank), Methanomassiliicoccales (order), Thermoplasmata (class), Candidatus Thermoplasmatota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1577790 (no rank), 1235850 (order), 183967 (class), 2283796 (phylum), 2157 (superkingdom), 131567 (no rank)	1906667
A0A7J4PH01	unreviewed	A0A7J4PH01_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HA351_03960	Methanosarcinaceae archaeon	729	A0A7J4PH01;		unclassified Methanosarcinaceae (no rank), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	41289 (no rank), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1945595
A0A7J9SF73	unreviewed	A0A7J9SF73_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk H5V44_02360	Halobellus ruber	771	A0A7J9SF73;		Halobellus (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1073986 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2761102
A0A7J9TB22	unreviewed	A0A7J9TB22_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HF977_09055	ANME-2 cluster archaeon	715	A0A7J9TB22;		unclassified ANME-2 cluster (no rank), ANME-2 cluster (no rank), Methanosarcinales incertae sedis (no rank), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1968519 (no rank), 588816 (no rank), 2927080 (no rank), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2056317
A0A7J9TH99	unreviewed	A0A7J9TH99_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HF974_08685 HF975_03155 HF976_05410	ANME-2 cluster archaeon	715	A0A7J9TH99;		unclassified ANME-2 cluster (no rank), ANME-2 cluster (no rank), Methanosarcinales incertae sedis (no rank), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1968519 (no rank), 588816 (no rank), 2927080 (no rank), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2056317
A0A7J9TT95	unreviewed	A0A7J9TT95_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HF970_05165	ANME-2 cluster archaeon	715	A0A7J9TT95;		unclassified ANME-2 cluster (no rank), ANME-2 cluster (no rank), Methanosarcinales incertae sedis (no rank), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1968519 (no rank), 588816 (no rank), 2927080 (no rank), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2056317
A0A7K3ZKA8	unreviewed	A0A7K3ZKA8_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GX583_03060	Thermoplasmatales archaeon	684	A0A7K3ZKA8;		unclassified Thermoplasmatales (no rank), Thermoplasmatales (order), Thermoplasmata (class), Candidatus Thermoplasmatota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1919231 (no rank), 2301 (order), 183967 (class), 2283796 (phylum), 2157 (superkingdom), 131567 (no rank)	2268204
A0A7K4A2X2	unreviewed	A0A7K4A2X2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GX472_04215	Methanomicrobiales archaeon	723	A0A7K4A2X2;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2184052
A0A7K4A759	unreviewed	A0A7K4A759_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GX362_01645	Methanosarcinaceae archaeon	698	A0A7K4A759;		unclassified Methanosarcinaceae (no rank), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	41289 (no rank), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1945595
A0A7K4ACV7	unreviewed	A0A7K4ACV7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GX369_05310	Euryarchaeota archaeon	698	A0A7K4ACV7;		unclassified Euryarchaeota (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	115531 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2026739
A0A7K4AYL3	unreviewed	A0A7K4AYL3_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GX302_13100	Methanosarcina flavescens	728	A0A7K4AYL3;		Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1715806
A0A7K4B2U2	unreviewed	A0A7K4B2U2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GX268_07615	Methanomicrobiales archaeon	716	A0A7K4B2U2;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2184052
A0A7K4B9B8	unreviewed	A0A7K4B9B8_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GXY48_06025	Methanomicrobiales archaeon	722	A0A7K4B9B8;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2184052
A0A7K4BCQ4	unreviewed	A0A7K4BCQ4_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GXY48_12085	Methanomicrobiales archaeon	716	A0A7K4BCQ4;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2184052
A0A7K4CEH9	unreviewed	A0A7K4CEH9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GYA23_10630	Methanomicrobiales archaeon	700	A0A7K4CEH9;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2184052
A0A7K4E4A5	unreviewed	A0A7K4E4A5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HKM88_03650	Halobacteria archaeon	764	A0A7K4E4A5;		unclassified Halobacteria (no rank), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1855410 (no rank), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2670410
A0A7K4HNJ6	unreviewed	A0A7K4HNJ6_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HWN36_05915	Methanofollis tationis	681	A0A7K4HNJ6;		Methanofollis (genus), Methanomicrobiaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	81416 (genus), 2194 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	81417
A0A7K4HQ12	unreviewed	A0A7K4HQ12_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HWN36_06415	Methanofollis tationis	701	A0A7K4HQ12;		Methanofollis (genus), Methanomicrobiaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	81416 (genus), 2194 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	81417
A0A7L4NYY7	unreviewed	A0A7L4NYY7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk HVN34_01850	Methanobacteriaceae archaeon	688	A0A7L4NYY7;		unclassified Methanobacteriaceae (no rank), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	92454 (no rank), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2099680
A0A7L4Q010	unreviewed	A0A7L4Q010_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GKC05_07905	Methanomicrobiales archaeon	717	A0A7L4Q010;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2184052
A0A7L4QV47	unreviewed	A0A7L4QV47_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GKC06_05730	Methanomicrobiales archaeon	717	A0A7L4QV47;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2184052
A0A7L4R4N7	unreviewed	A0A7L4R4N7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk GKC07_03375	Methanomicrobiales archaeon	717	A0A7L4R4N7;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2184052
A0A7T9HGB2	unreviewed	A0A7T9HGB2_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk IPI71_02240	Methanolinea sp	717	A0A7T9HGB2;		unclassified Methanolinea (no rank), Methanolinea (genus), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2628036 (no rank), 499551 (genus), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2268143
A0A7U3WBU7	unreviewed	A0A7U3WBU7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk I7X12_10715	Halosimplex litoreum	850	A0A7U3WBU7;		Halosimplex (genus), Haloarculaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	171163 (genus), 1963268 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1198301
A0A7Z7AUE6	unreviewed	A0A7Z7AUE6_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk SAMN04488589_0264	Methanolobus vulcani	721	A0A7Z7AUE6;		Methanolobus (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2220 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	38026
A0A7Z8P215	unreviewed	A0A7Z8P215_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk FKV42_02480	Methanolobus vulcani	690	A0A7Z8P215;		Methanolobus (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2220 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	38026
