accession	seqid	alntmscore	Taxonomic.lineage	Organism	Phylum	LeidenCluster	tSNE1	tSNE2	info
A0A448GXT8	0.501	0.947	Moraxella (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Moraxella cuniculi	Pseudomonadota	NA	NA	NA	NA
A0A7C4E7A3	0.541	0.9429	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
A0A1E4ZV03	0.509	0.9794	unclassified Chromatiales (no rank), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Chromatiales bacterium (ex Bugula neritina AB1)	Pseudomonadota	NA	NA	NA	NA
A0A1C3D1N1	0.512	0.9728	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter celticus	Pseudomonadota	NA	NA	NA	NA
A0A2W5WXG7	0.516	0.9394	Pseudomonas oleovorans/pseudoalcaligenes group (no rank), Pseudomonas aeruginosa group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas oleovorans	Pseudomonadota	NA	NA	NA	NA
A0A009YT68	0.501	0.9787	unclassified Acinetobacter calcoaceticus/baumannii complex (no rank), Acinetobacter calcoaceticus/baumannii complex (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. 479375	Pseudomonadota	NA	NA	NA	NA
A0A315E058	0.51	0.9505	unclassified Limnohabitans (no rank), Limnohabitans (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Limnohabitans sp. 2KL-51	Pseudomonadota	NA	NA	NA	NA
A0A395JJV2	0.505	0.9584	Arenicella (genus), Arenicellaceae (family), Arenicellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Arenicella xantha	Pseudomonadota	NA	NA	NA	NA
A0A0A0M878	0.51	0.965	Lysobacter defluvii (species), Lysobacter (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Lysobacter defluvii IMMIB APB-9 = DSM 18482	Pseudomonadota	NA	NA	NA	NA
A0A258P3T0	0.525	0.9415	unclassified Polaromonas (no rank), Polaromonas (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Polaromonas sp. 35-63-35	Pseudomonadota	NA	NA	NA	NA
A0A640J776	0.521	0.9331	Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax boronicumulans	Pseudomonadota	NA	NA	NA	NA
A0A2E8FBS7	0.512	0.9455	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
A0A2K0XWU1	0.498	0.9473	unclassified Moraxella (no rank), Moraxella (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Moraxella sp. RCAD0137	Pseudomonadota	NA	NA	NA	NA
A0A1B3BBR7	0.499	0.9559	Kangiella (genus), Kangiellaceae (family), Kangiellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Kangiella sediminilitoris	Pseudomonadota	NA	NA	NA	NA
A0A846USS4	0.501	0.9561	unclassified Dyella (no rank), Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella sp. SG609	Pseudomonadota	NA	NA	NA	NA
A0A7R6P0S4	0.532	0.9507	Amphritea japonica (species), Amphritea (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Amphritea japonica ATCC BAA-1530	Pseudomonadota	NA	NA	NA	NA
A0A1N7EHC1	0.501	0.947	Moraxella cuniculi (species), Moraxella (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Moraxella cuniculi DSM 21768	Pseudomonadota	NA	NA	NA	NA
A0A0A8XDH6	0.516	0.9818	Acinetobacter calcoaceticus/baumannii complex (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter calcoaceticus	Pseudomonadota	NA	NA	NA	NA
A0A515BJR8	0.512	0.9753	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter tandoii	Pseudomonadota	NA	NA	NA	NA
A0A078KQ68	0.505	0.975	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella massiliensis	Pseudomonadota	NA	NA	NA	NA
A0A640JH50	0.519	0.9439	Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax boronicumulans	Pseudomonadota	NA	NA	NA	NA
A0A5A7VSR0	0.505	0.9562	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. T12-5	Pseudomonadota	NA	NA	NA	NA
A0A1G3E9F6	0.505	0.9592	unclassified Pseudomonadales (no rank), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonadales bacterium RIFCSPLOWO2_12_59_9	Pseudomonadota	NA	NA	NA	NA
A0A554RZS5	0.519	0.945	unclassified Variovorax (no rank), Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax sp. KBS0712	Pseudomonadota	NA	NA	NA	NA
A0A250DLJ9	0.519	0.9525	Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax boronicumulans	Pseudomonadota	NA	NA	NA	NA
R9AKC4	0.507	0.9727	Acinetobacter tandoii (species), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter tandoii DSM 14970 = CIP 107469	Pseudomonadota	NA	NA	NA	NA
N9NSU7	0.512	0.9719	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. CIP 102136	Pseudomonadota	NA	NA	NA	NA
A0A807Q6Z9	0.499	0.9736	Tatlockia (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Tatlockia micdadei (Legionella micdadei)	Pseudomonadota	NA	NA	NA	NA
A0A0W0YZM5	0.5	0.9622	Legionella shakespearei (species), Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella shakespearei DSM 23087	Pseudomonadota	NA	NA	NA	NA
A0A1E4HGT5	0.494	0.9655	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. SCN 67-45	Pseudomonadota	NA	NA	NA	NA
A0A3S0E041	0.505	0.9609	unclassified Neisseriaceae (no rank), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Neisseriaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A5Q0M6G4	0.521	0.9363	Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax paradoxus	Pseudomonadota	NA	NA	NA	NA
A0A1E7U7F1	0.519	0.9523	Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax boronicumulans	Pseudomonadota	NA	NA	NA	NA
A0A1T1JR46	0.504	0.9737	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. MF4640	Pseudomonadota	NA	NA	NA	NA
A0A5N4W4U3	0.508	0.9767	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter tandoii	Pseudomonadota	NA	NA	NA	NA
A0A1R7QBM2	0.505	0.9746	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter johnsonii	Pseudomonadota	NA	NA	NA	NA
A0A7H8SBY3	0.505	0.974	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. NEB 394	Pseudomonadota	NA	NA	NA	NA
N9BL34	0.504	0.9719	Acinetobacter johnsonii (species), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter johnsonii ANC 3681	Pseudomonadota	NA	NA	NA	NA
A0A653L683	0.505	0.9741	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. 8I-beige	Pseudomonadota	NA	NA	NA	NA
A0A4Q5PH45	0.507	0.9434	unclassified Comamonadaceae (no rank), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Comamonadaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A2E1ZQV3	0.505	0.9478	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
A0A0F3K9A4	0.505	0.9512	Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter yeojuensis	Pseudomonadota	NA	NA	NA	NA
A0A5C6U6Z3	0.525	0.973	Piscinibacter (genus), Sphaerotilaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Piscinibacter aquaticus	Pseudomonadota	NA	NA	NA	NA
A0A1T1JCL9	0.505	0.9735	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. MF4642	Pseudomonadota	NA	NA	NA	NA
A0A385N307	0.501	0.9715	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. WCHA55	Pseudomonadota	NA	NA	NA	NA
A0A7S8XFR9	0.505	0.9738	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter johnsonii	Pseudomonadota	NA	NA	NA	NA
A0A239RT41	0.505	0.9728	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter johnsonii	Pseudomonadota	NA	NA	NA	NA
A0A3Q8XBD8	0.505	0.9685	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter johnsonii	Pseudomonadota	NA	NA	NA	NA
A0A098GKR1	0.497	0.9751	Tatlockia (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Tatlockia micdadei (Legionella micdadei)	Pseudomonadota	NA	NA	NA	NA
A0A0U3ED01	0.507	0.9539	unclassified Paucibacter (no rank), Paucibacter (genus), Burkholderiales genera incertae sedis (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Paucibacter sp. KCTC 42545	Pseudomonadota	NA	NA	NA	NA
A0A3Q8EWS6	0.522	0.9547	Candidatus Kinetoplastibacterium (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Kinetoplastibacterium sorsogonicusi	Pseudomonadota	NA	NA	NA	NA
A0A2G6WSF7	0.519	0.9456	unclassified Variovorax (no rank), Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax sp. 54	Pseudomonadota	NA	NA	NA	NA
A0A8B6LKI2	0.525	0.9368	unclassified Variovorax (no rank), Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax sp. SRS16	Pseudomonadota	NA	NA	NA	NA
A0A1E4Q415	0.512	0.9583	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. SCN 68-63	Pseudomonadota	NA	NA	NA	NA
A0A2A5WD41	0.503	0.9464	OM182 clade (no rank), OMG group (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	OM182 bacterium MED-G28	Pseudomonadota	NA	NA	NA	NA
A0A7X5QU36	0.495	0.9496	Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter yeojuensis	Pseudomonadota	NA	NA	NA	NA
A0A2E7DJZ3	0.509	0.9479	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
A0A2G6LJJ5	0.492	0.9522	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
A0A4Y5Z641	0.503	0.9555	Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter pinisoli	Pseudomonadota	NA	NA	NA	NA
A0A4R3YVK0	0.503	0.9483	Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter rhizovicinus	Pseudomonadota	NA	NA	NA	NA
A0A0Q7KW99	0.518	0.9403	unclassified Variovorax (no rank), Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax sp. Root473	Pseudomonadota	NA	NA	NA	NA
A0A2N4SU14	0.521	0.9367	unclassified Variovorax (no rank), Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax sp. RO1	Pseudomonadota	NA	NA	NA	NA
A0A7D5B2T1	0.51	0.9752	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. FDAARGOS_724	Pseudomonadota	NA	NA	NA	NA
D0SFH6	0.505	0.9741	Acinetobacter johnsonii (species), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter johnsonii SH046	Pseudomonadota	NA	NA	NA	NA
D0SYA4	0.512	0.9749	Acinetobacter lwoffii (species), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter lwoffii SH145	Pseudomonadota	NA	NA	NA	NA
N8NLQ7	0.51	0.9752	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. CIP A162	Pseudomonadota	NA	NA	NA	NA
A0A427UWV9	0.505	0.9716	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter johnsonii	Pseudomonadota	NA	NA	NA	NA
A0A0W0SUY4	0.493	0.9747	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella brunensis	Pseudomonadota	NA	NA	NA	NA
A0A140J129	0.501	0.9654	Legionella pneumophila (species), Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella pneumophila subsp. pascullei	Pseudomonadota	NA	NA	NA	NA
A0A0N0JTA7	0.51	0.9379	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	beta proteobacterium AAP99	Pseudomonadota	NA	NA	NA	NA
A0A0Q7A7K1	0.516	0.9349	unclassified Rhizobacter (no rank), Rhizobacter (genus), Burkholderiales genera incertae sedis (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhizobacter sp. Root404	Pseudomonadota	NA	NA	NA	NA
A0A378QBG3	0.503	0.9424	Moraxella (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Moraxella osloensis	Pseudomonadota	NA	NA	NA	NA
A0A7L8S803	0.521	0.9294	unclassified Variovorax (no rank), Variovorax (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Variovorax sp. 38R	Pseudomonadota	NA	NA	NA	NA
A0A839LB18	0.509	0.9611	unclassified Mitsuaria (no rank), Mitsuaria (genus), Sphaerotilaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Mitsuaria sp. WAJ17	Pseudomonadota	NA	NA	NA	NA
A0A3S0DPQ7	0.518	0.9586	unclassified Burkholderiales (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Burkholderiales bacterium	Pseudomonadota	NA	NA	NA	NA
N9PBT0	0.51	0.9722	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter variabilis	Pseudomonadota	NA	NA	NA	NA
N9HBJ1	0.51	0.9749	Acinetobacter lwoffii (species), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter lwoffii NIPH 478	Pseudomonadota	NA	NA	NA	NA
A0A2W5RTM9	0.504	0.9737	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter johnsonii	Pseudomonadota	NA	NA	NA	NA
A0A4V2LS72	0.504	0.975	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. ANC 4173	Pseudomonadota	NA	NA	NA	NA
A0A854MC73	0.505	0.9778	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter indicus	Pseudomonadota	NA	NA	NA	NA
N8WX95	0.51	0.9723	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. NIPH 899	Pseudomonadota	NA	NA	NA	NA
V2U0L2	0.505	0.9782	Acinetobacter indicus (species), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter indicus CIP 110367	Pseudomonadota	NA	NA	NA	NA
A0A2L0I8L2	0.51	0.9754	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. ACNIH1	Pseudomonadota	NA	NA	NA	NA
A0A7H8VJE4	0.505	0.9778	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter indicus	Pseudomonadota	NA	NA	NA	NA
A0A1G3DMS3	0.505	0.973	unclassified Pseudomonadales (no rank), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16	Pseudomonadota	NA	NA	NA	NA
A0A0W0XGT0	0.487	0.9775	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella oakridgensis	Pseudomonadota	NA	NA	NA	NA
A0A0W0TUJ9	0.504	0.972	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella erythra	Pseudomonadota	NA	NA	NA	NA
A0A364LLL9	0.491	0.9772	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella quinlivanii	Pseudomonadota	NA	NA	NA	NA
A0A2S6F6Y9	0.503	0.9662	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella pneumophila	Pseudomonadota	NA	NA	NA	NA
A0A315EDQ8	0.505	0.9427	unclassified Limnohabitans (no rank), Limnohabitans (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Limnohabitans sp. 2KL-17	Pseudomonadota	NA	NA	NA	NA
A0A0W1AJE8	0.493	0.9716	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella worsleiensis	Pseudomonadota	NA	NA	NA	NA
Q12BC1	0.52	0.9434	unclassified Polaromonas (no rank), Polaromonas (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Polaromonas sp. (strain JS666 / ATCC BAA-500)	Pseudomonadota	NA	NA	NA	NA
A0A1V3Q4G7	0.497	0.9626	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. B05	Pseudomonadota	NA	NA	NA	NA
A0A1H7WRJ0	0.498	0.9527	unclassified Luteibacter (no rank), Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter sp. UNCMF331Sha3.1	Pseudomonadota	NA	NA	NA	NA
A0A1G7IUJ7	0.489	0.9506	unclassified Dyella (no rank), Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella sp. 333MFSha	Pseudomonadota	NA	NA	NA	NA
A0A1T5EEL2	0.489	0.9527	unclassified Luteibacter (no rank), Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter sp. 22Crub2.1	Pseudomonadota	NA	NA	NA	NA
A0A259QRS8	0.509	0.9555	unclassified Xanthomonadales (no rank), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonadales bacterium 14-68-21	Pseudomonadota	NA	NA	NA	NA
